delivery_id,delivery_time,distance,cost,courier_type,traffic_level,success,city,timestamp
1,60.0,4.1964950030613455,18.30675278014548,Economic,High,1,Isfahan,2025-08-11 00:00:00
2,34.340828385945784,4.60876012955938,14.322538396123383,Motorcycle,Medium,1,Tehran,2025-08-13 12:00:00
3,36.47688538100692,9.753531255617235,48.02951887084987,Motorcycle,Low,1,Tehran,2025-08-10 06:00:00
4,60.0,6.439317380126877,18.526819594260257,Economic,Medium,1,Mashhad,2025-08-13 00:00:00
5,41.48769937914996,5.70179664342978,45.41024494995558,Van,High,0,Tehran,2025-08-11 07:00:00
6,27.658630430508193,13.2595152465133,12.6449003662979,Motorcycle,Low,1,Isfahan,2025-08-14 04:00:00
7,45.79212815507391,13.368463159152345,22.23795542386004,Motorcycle,Low,1,Mashhad,2025-08-13 23:00:00
8,56.51152093729363,16.665824326198653,50.0,Motorcycle,High,1,Mashhad,2025-08-16 07:00:00
9,32.89683298284562,8.936462772486541,18.779896935389587,Economic,Low,1,Tehran,2025-08-11 03:00:00
10,53.138400653789475,2.3886167294968548,50.0,Motorcycle,High,1,Isfahan,2025-08-13 10:00:00
11,49.46335499015698,6.199661313507696,45.68054444580234,Economic,High,1,Shiraz,2025-08-11 15:00:00
12,32.945513203586664,19.62010380073952,9.216351735064457,Economic,Low,0,Tabriz,2025-08-10 07:00:00
13,42.14550953035844,12.328912929421339,10.383205126815216,Economic,Low,1,Shiraz,2025-08-10 20:00:00
14,16.300796330133032,14.485004611219384,50.0,Motorcycle,High,1,Mashhad,2025-08-14 21:00:00
15,19.891281812796688,1.1397987628828763,19.953332389418883,Economic,Medium,0,Tehran,2025-08-17 00:00:00
16,29.252549649108325,10.845908911467896,7.795243804103131,Van,Medium,1,Isfahan,2025-08-15 02:00:00
17,19.87168879665576,1.7130444931042592,17.324231886741693,Motorcycle,Low,0,Tabriz,2025-08-14 20:00:00
18,33.142473325952736,11.815374029737512,35.08263516318022,Motorcycle,Low,1,Tehran,2025-08-16 16:00:00
19,25.103711093745467,18.494646143085433,45.06366531501842,Motorcycle,Medium,1,Tehran,2025-08-12 20:00:00
20,23.815444479970626,19.39996347950775,14.523283855339619,Motorcycle,High,1,Tehran,2025-08-16 08:00:00
21,60.0,11.270500832389558,11.969233678503707,Motorcycle,High,0,Isfahan,2025-08-17 00:00:00
22,43.277889712410044,9.705891299792103,37.19533552860394,Economic,Medium,1,Mashhad,2025-08-10 01:00:00
23,39.87786666094301,18.955324790721384,34.145475365774274,Economic,Low,1,Tehran,2025-08-13 12:00:00
24,15.752518137865433,13.798586807937207,31.54008203501353,Motorcycle,Low,1,Shiraz,2025-08-10 11:00:00
25,31.92302458117263,2.23308631122978,31.690724439853412,Economic,Low,1,Mashhad,2025-08-16 23:00:00
26,37.33107107651839,9.848785975682453,26.728290884678607,Motorcycle,Medium,1,Tehran,2025-08-16 15:00:00
27,,5.564655350821774,34.43484759344142,Economic,Medium,1,Tehran,2025-08-14 19:00:00
